1.1048	0.89523	-1
-0.99491	0.0050853	1
0.10609	1.1061	1
-1.5244	-0.52445	1
0.1458	1.1458	1
1.5166	0.48339	-1
-1.8758	3.8758	-1
1.7843	2.7843	1
-1.7562	3.7562	-1
0.32638	1.6736	-1
0.88272	1.8827	1
1.8738	0.1262	-1
-1.9765	-0.97646	1
1.6384	2.6384	1
1.4855	0.51454	-1
-0.66675	0.33325	1
1.2635	2.2635	1
-1.3354	-0.33539	1
1.7101	0.28994	-1
0.25185	1.2519	1
0.45318	1.5468	-1
0.88856	1.1114	-1
1.8089	2.8089	1
-1.7269	-0.72689	1
-0.4356	2.4356	-1
1.2273	2.2273	1
-1.559	3.559	-1
0.39937	1.6006	-1
1.6953	2.6953	1
0.84812	1.1519	-1
-0.84987	2.8499	-1
0.97561	1.9756	1
-0.96629	0.03371	1
-0.84548	2.8455	-1
-0.085366	0.91463	1
1.2532	2.2532	1
1.8341	0.1659	-1
-1.8912	3.8912	-1
-0.92407	2.9241	-1
-0.01598	2.016	-1
-1.204	-0.20401	1
-1.9132	3.9132	-1
0.6062	1.6062	1
1.4241	2.4241	1
-1.0878	3.0878	-1
-1.0723	-0.072317	1
-1.2704	3.2704	-1
1.8843	0.11574	-1
-1.4227	-0.42272	1
-0.5695	2.5695	-1
0.66973	1.6697	1
-0.77347	0.22653	1
-1.1173	3.1173	-1
-0.83376	0.16624	1
-1.3239	-0.32391	1
-1.3482	3.3482	-1
-1.3773	3.3773	-1
-1.693	3.693	-1
1.3781	0.62194	-1
0.46798	1.532	-1
1.1709	2.1709	1
1.721	2.721	1
0.045051	1.9549	-1
-1.4991	-0.49909	1
0.71943	1.2806	-1
1.6457	2.6457	1
-1.1385	3.1385	-1
0.99845	1.0016	-1
1.5118	0.48823	-1
0.81795	1.1821	-1
-1.3488	3.3488	-1
-0.74641	2.7464	-1
0.4904	1.5096	-1
0.80409	1.8041	1
-0.41021	0.58979	1
-1.3509	3.3509	-1
-1.4697	3.4697	-1
-0.42742	2.4274	-1
1.3542	2.3542	1
1.9969	0.003077	-1
1.5206	0.47938	-1
0.37797	1.378	1
-1.255	3.255	-1
1.9652	0.03478	-1
-1.6284	3.6284	-1
-1.4594	3.4594	-1
1.1747	0.82533	-1
-1.252	3.252	-1
-0.057643	0.94236	1
-0.95013	2.9501	-1
-0.41381	2.4138	-1
-1.0358	3.0358	-1
1.7737	0.2263	-1
-0.62473	0.37527	1
0.55028	1.5503	1
-0.80046	0.19954	1
-1.228	-0.22797	1
0.19599	1.804	-1
-1.2151	3.2151	-1
-1.7889	-0.7889	1
-1.5517	-0.55171	1
1.9281	2.9281	1
1.5981	2.5981	1
1.7769	2.7769	1
-0.88442	0.11558	1
0.69709	1.6971	1
1.0702	2.0702	1
1.8176	2.8176	1
-1.8284	-0.82841	1
-1.3469	-0.34689	1
-1.1328	-0.13275	1
-1.0828	-0.082839	1
0.8516	1.1484	-1
1.1551	0.84487	-1
1.6888	2.6888	1
1.7894	2.7894	1
-1.3619	3.3619	-1
1.8248	0.17518	-1
-0.58983	2.5898	-1
-1.9865	-0.9865	1
-1.4608	3.4608	-1
-0.76023	0.23977	1
0.43886	1.4389	1
0.77103	1.771	1
-0.68054	2.6805	-1
-1.7801	3.7801	-1
-0.75988	2.7599	-1
-1.156	-0.15605	1
0.46195	1.4619	1
0.90225	1.0978	-1
-1.1067	3.1067	-1
-0.48153	2.4815	-1
-1.455	-0.45496	1
-0.92473	0.075268	1
-1.9288	3.9288	-1
-0.75627	0.24373	1
-1.9703	3.9703	-1
0.22726	1.2273	1
1.802	0.198	-1
-0.62741	0.37259	1
-0.081475	2.0815	-1
-1.6102	-0.61021	1
1.7654	0.23461	-1
0.60716	1.6072	1
-1.4754	-0.47545	1
0.29767	1.2977	1
-1.8825	3.8825	-1
-1.9469	-0.94693	1
-0.24139	0.75861	1
1.7084	2.7084	1
