1	1	1	1	1	2	2	1
1	1	1	1	2	1	3	1
1	1	1	1	2	2	4	1
1	1	1	1	3	1	5	-1
1	1	1	1	4	1	7	-1
1	1	1	2	1	1	9	1
1	1	1	2	2	2	12	1
1	1	1	2	4	2	16	-1
1	1	2	1	2	2	28	1
1	1	2	1	4	2	32	-1
1	1	2	2	2	2	36	1
1	1	2	2	4	1	39	-1
1	1	2	2	4	2	40	-1
1	1	2	3	1	1	41	1
1	1	2	3	1	2	42	1
1	1	2	3	3	1	45	1
1	1	2	3	3	2	46	1
1	2	1	1	3	1	53	1
1	2	1	2	2	1	59	1
1	2	1	2	2	2	60	1
1	2	1	2	3	1	61	-1
1	2	1	3	1	1	65	1
1	2	1	3	1	2	66	1
1	2	1	3	2	1	67	1
1	2	1	3	2	2	68	1
1	2	1	3	3	2	70	1
1	2	1	3	4	1	71	-1
1	2	2	1	3	1	77	1
1	2	2	1	4	2	80	-1
1	2	2	2	1	1	81	1
1	2	2	2	2	1	83	1
1	2	2	2	2	2	84	1
1	2	2	3	1	1	89	1
1	2	2	3	2	1	91	1
1	2	2	3	2	2	92	1
1	3	1	1	2	1	99	-1
1	3	1	1	4	1	103	-1
1	3	1	2	3	2	110	-1
1	3	1	2	4	1	111	-1
1	3	1	3	1	1	113	-1
1	3	1	3	3	1	117	-1
1	3	2	1	1	1	121	-1
1	3	2	1	1	2	122	-1
1	3	2	1	2	1	123	-1
1	3	2	1	4	2	128	-1
1	3	2	2	3	2	134	-1
1	3	2	2	4	2	136	-1
1	3	2	3	4	1	143	-1
2	1	1	1	1	1	145	1
2	1	1	1	1	2	146	1
2	1	1	1	4	1	151	-1
2	1	1	1	4	2	152	-1
2	1	1	2	1	1	153	1
2	1	1	2	1	2	154	1
2	1	1	3	2	2	164	1
2	1	1	3	3	2	166	1
2	1	1	3	4	1	167	-1
2	1	2	1	2	2	172	1
2	1	2	2	4	1	183	-1
2	1	2	3	1	2	186	1
2	2	1	1	3	2	198	1
2	2	1	1	4	2	200	-1
2	2	1	2	1	2	202	1
2	2	1	2	2	1	203	-1
2	2	1	3	1	1	209	1
2	2	1	3	2	2	212	1
2	2	1	3	3	1	213	-1
2	2	1	3	3	2	214	-1
2	2	1	3	4	2	216	-1
2	2	2	1	2	2	220	1
2	2	2	2	1	2	226	1
2	2	2	2	3	1	229	1
2	2	2	2	3	2	230	1
2	2	2	3	4	1	239	-1
2	3	1	1	3	1	245	1
2	3	1	2	1	1	249	-1
2	3	1	2	2	1	251	-1
2	3	1	2	2	2	252	-1
2	3	1	2	3	2	254	-1
2	3	1	3	3	1	261	-1
2	3	2	1	1	2	266	-1
2	3	2	1	2	2	268	-1
2	3	2	1	4	1	271	-1
2	3	2	2	3	1	277	-1
2	3	2	2	4	2	280	-1
2	3	2	3	1	1	281	-1
2	3	2	3	2	1	283	-1
2	3	2	3	4	2	288	-1
3	1	1	1	1	1	289	1
3	1	1	1	2	1	291	1
3	1	1	1	3	1	293	1
3	1	1	2	4	2	304	-1
3	1	1	3	1	2	306	1
3	1	1	3	4	2	312	-1
3	1	2	1	2	1	315	1
3	1	2	2	3	2	326	1
3	1	2	2	4	2	328	-1
3	1	2	3	1	1	329	1
3	2	1	1	2	2	340	1
3	2	1	1	4	1	343	-1
3	2	1	2	3	1	349	1
3	2	1	3	1	2	354	1
3	2	2	1	2	2	364	1
3	2	2	1	3	2	366	1
3	2	2	2	1	2	370	1
3	2	2	3	1	1	377	1
3	2	2	3	3	2	382	1
3	2	2	3	4	1	383	-1
3	3	1	1	3	2	390	1
3	3	1	1	4	1	391	1
3	3	1	2	4	2	400	-1
3	3	1	3	1	1	401	-1
3	3	1	3	2	1	403	-1
3	3	1	3	2	2	404	-1
