47	47	48	5	22	16	26	-1	
68	49	1	5	62	55	28	-1	
51	46	48	5	58	31	41	-1	
26	5	48	5	44	32	41	-1	
63	69	48	5	65	41	28	1	
7	64	48	5	47	51	47	-1	
43	39	48	5	47	31	41	-1	
3	16	48	5	56	11	23	-1	
37	5	48	5	42	36	45	-1	
52	57	48	5	42	47	54	-1	
68	82	48	5	38	65	56	-1	
35	48	48	5	56	4	48	-1	
66	74	48	5	31	38	43	-1	
64	78	48	5	5	36	38	-1	
65	47	48	5	59	3	4	-1	
67	39	48	5	36	38	46	-1	
73	78	48	5	58	51	31	-1	
44	42	48	5	42	25	2	-1	
7	4	48	5	54	35	44	-1	
39	31	48	5	38	34	43	-1	
3	44	48	5	49	22	33	-1	
77	57	1	5	37	54	1	-1	
34	42	48	5	41	34	43	-1	
7	39	1	5	51	82	84	1	
32	42	48	5	35	28	38	-1	
56	68	48	5	77	36	45	1	
72	86	48	5	17	55	21	-1	
71	86	48	5	4	54	32	-1	
52	81	48	5	72	38	38	1	
65	55	48	5	34	37	28	-1	
4	5	48	5	45	39	47	-1	
4	46	48	5	52	49	56	-1	
42	35	48	5	58	15	27	-1	
2	44	48	5	46	51	57	-1	
69	59	48	5	77	39	21	1	
54	47	48	5	28	33	42	-1	
29	41	48	5	48	38	46	-1	
44	35	48	5	44	52	59	-1	
44	28	48	5	43	27	37	-1	
38	4	48	5	63	25	35	-1	
64	84	48	5	37	45	4	-1	
4	46	48	5	42	35	44	-1	
27	3	48	5	71	28	39	-1	
74	56	48	5	47	68	3	-1	
57	54	48	5	37	28	33	-1	
37	52	48	5	42	42	36	-1	
31	23	48	5	73	5	14	-1	
67	81	48	5	25	42	25	-1	
51	49	48	5	53	14	26	-1	
64	72	48	5	49	42	19	-1	
47	28	48	5	56	2	25	-1	
66	86	48	5	34	41	36	-1	
63	86	48	5	39	47	34	-1	
41	43	48	5	5	24	25	-1	
29	28	48	5	44	23	34	-1	
65	57	48	5	47	47	51	-1	
51	37	48	5	35	36	45	-1	
71	71	48	5	4	54	39	-1	
44	56	48	5	5	46	54	-1	
43	4	48	5	39	28	39	-1	
37	44	48	5	42	39	47	-1	
22	43	48	5	48	16	28	-1	
24	34	48	5	38	3	4	-1	
66	49	1	5	54	56	36	-1	
63	71	48	5	6	4	39	-1	
73	84	48	5	86	58	29	1	
66	71	48	5	41	5	35	-1	
42	38	48	5	54	34	43	-1	
23	34	48	5	43	26	37	-1	
41	43	48	5	45	31	41	-1	
25	4	48	5	46	44	52	-1	
36	39	48	5	48	22	23	-1	
4	29	48	5	42	35	44	-1	
25	4	48	5	47	33	42	-1	
34	28	48	5	41	35	44	-1	
41	48	48	5	51	44	51	-1	
28	38	48	5	5	33	42	-1	
48	42	48	5	45	25	35	-1	
17	38	48	5	45	42	5	-1	
67	61	48	5	51	37	38	-1	
51	5	48	5	46	32	35	-1	
42	24	48	5	57	27	37	-1	
33	47	48	5	53	18	29	-1	
71	71	48	5	68	43	36	1	
29	28	48	5	5	42	5	-1	
74	82	48	5	49	49	41	-1	
67	81	48	5	54	49	23	-1	
23	58	48	5	37	53	59	-1	
57	59	48	5	39	47	33	-1	
26	26	48	5	34	25	35	-1	
76	73	48	5	44	39	39	-1	
52	36	48	5	41	28	38	-1	
23	4	48	5	39	28	38	-1	
49	43	48	5	49	3	4	-1	
43	37	48	5	53	35	44	-1	
41	57	48	5	39	21	32	-1	
44	27	48	5	55	52	58	-1	
36	56	48	5	43	45	53	-1	
25	26	48	5	39	32	42	-1	
38	3	48	5	43	29	39	-1	
44	51	48	5	47	26	36	-1	
69	65	48	5	63	48	41	-1	
74	9	48	5	57	53	29	1	
74	74	48	5	31	53	52	-1	
49	29	48	5	56	24	35	-1	
67	7	48	5	46	45	33	-1	
34	55	48	5	58	31	41	-1	
24	35	48	5	31	19	31	-1	
28	33	48	5	45	22	33	-1	
59	49	48	5	52	45	36	-1	
64	76	48	5	45	35	38	-1	
62	78	48	5	47	49	54	-1	
47	29	48	5	51	33	43	-1	
38	26	48	5	54	16	28	-1	
65	51	48	5	66	54	33	1	
67	88	48	5	73	5	25	1	
16	43	48	5	54	27	37	-1	
69	59	48	5	46	44	52	-1	
59	61	48	5	42	42	37	-1	
42	3	48	5	48	26	36	-1	
24	57	48	5	63	34	43	-1	
68	78	48	5	43	44	42	-1	
43	59	48	5	52	49	56	-1	
64	57	48	5	7	33	26	1	
0	38	48	5	42	48	55	-1	
67	84	48	5	74	54	37	1	
61	36	48	5	49	35	44	-1	
25	37	48	5	43	26	36	-1	
56	54	48	5	43	37	3	-1	
53	38	48	5	44	26	36	-1	
44	34	48	5	3	33	43	-1	
